username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
001 SAINT FERREOL|Stferreol1@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|440|2171|50.23|0.91|35.56|4.88|47.95|1.14|34.09|4.93|33.18|2.05|20.82|3.45|49|63|40|52|46|63|607|545|772|19|1410.3|3898.52
002 LE PONTET|avignonpontet2@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|828|4069|35.39|0.72|27.72|2.26|33.70|0.60|26.12|2.29|28.86|0.85|22.76|2.11|88|95|81|84|56|53|1359|1451|1736|48|6558.5|21170.33
003 VITROLLES|vitrolles3@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|570|3043|31.23|1.05|27.70|2.37|30.00|1.05|26.59|2.50|13.33|1.05|12.65|1.71|98|96|91|81|106|97|754|849|972|29|2640.2|12870.1
004 AVANT CAP|avantcap4@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|811|4202|28.24|0.74|27.18|2.57|27.87|0.74|26.49|2.57|25.28|0.74|18.11|1.67|105|98|95|83|64|74|963|1038|1315|24|3031.2|11219.94
005 AIX EN PROVENCE|Aix5@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|727|3866|41.40|1.10|37.53|5.15|35.90|1.24|34.17|4.66|14.99|1.65|15.80|3.60|78|54|76|49|99|87|1408|1301|1803|50|3723.1|23324.58
006 AUBAGNE|Aubagne6@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|531|2621|54.80|1.32|42.08|8.01|53.30|1.32|40.33|7.78|52.35|1.32|39.76|7.78|40|38|28|30|11|16|1287|1611|1573|32|2391.5|20875.98
007 VILLARS|Villars7@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|690|3769|33.62|0.43|34.92|2.10|30.72|0.87|31.65|1.94|19.57|1.74|18.73|2.68|93|65|89|57|82|70|939|628|1250|48|5501|19329.65
009 PERPIGNAN|Perpignan9@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-06-01 00:00:00+02|817|4670|22.03|0.86|19.70|3.02|18.48|0.73|16.90|2.51|17.99|0.98|16.53|2.70|117|119|118|119|91|84|1165|1728|1510|43|5364.2|22867.87
010 ANNECY|Annecy10@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-06-01 00:00:00+02|855|4569|41.40|1.75|37.64|6.57|37.43|2.46|34.12|6.30|36.14|3.04|32.76|6.74|77|53|71|51|40|27|1693|2020|2199|75|4900.7|28534.5
012 TOULON GRAND VAR|Toulonvar12@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|692|3993|30.78|2.02|27.27|10.52|29.34|2.17|26.12|10.04|4.62|3.18|4.11|3.93|99|97|93|85|125|127|855|1012|1101|23|1617.9|8767.61
013 NICE LINGOSTIERE|nicelingostiere13@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-06-01 00:00:00+02|455|2530|26.81|1.32|29.29|3.99|25.05|1.10|27.59|3.83|18.02|0.88|25.06|3.79|109|90|103|75|90|47|847|901|1705|25|2321.6|10699.35
