username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
001 SAINT FERREOL|Stferreol1@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|337|1731|44.51|0.89|31.48|3.99|41.84|0.89|30.16|3.99|33.23|1.19|17.27|2.14|39|67|33|58|29|69|1695|908|842|7|569|1185.75
002 LE PONTET|avignonpontet2@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|662|3240|30.51|0.60|25.56|2.07|28.10|1.06|24.01|2.10|25.38|0.60|21.02|1.85|89|99|81|88|54|55|4098|2388|2144|29|3094.3|10976.07
003 VITROLLES|vitrolles3@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|513|2473|21.05|0.58|26.77|2.43|20.47|0.58|25.72|2.55|6.63|0.58|12.37|1.66|113|90|104|78|119|96|2381|1378|1227|7|1377.4|5786.3
004 AVANT CAP|avantcap4@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|700|3391|18.57|0.57|26.75|2.68|17.43|0.57|25.98|2.65|14.57|0.43|16.10|1.62|116|92|114|77|92|80|3093|1796|1713|10|763.5|3160.99
005 AIX EN PROVENCE|Aix5@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|666|3139|35.74|2.10|36.41|5.35|33.93|1.80|33.55|4.71|13.06|1.20|15.61|3.79|70|47|59|43|97|83|4179|2221|2198|38|3205.1|13652.36
006 AUBAGNE|Aubagne6@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|436|2090|44.04|2.52|38.80|7.99|41.97|2.29|36.99|7.56|41.51|2.06|36.51|7.51|42|40|31|32|14|17|4878|3112|2020|17|3487.6|9231.42
007 VILLARS|Villars7@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|607|3079|33.94|0.66|35.04|2.18|30.97|0.49|31.70|1.92|16.80|1.32|18.38|2.40|76|57|69|52|81|64|2117|906|1405|34|3145.3|10337.5
009 PERPIGNAN|Perpignan9@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|812|3853|17.49|2.34|19.15|3.06|14.16|1.97|16.51|2.52|13.92|1.97|16.17|2.67|119|117|118|114|93|79|4697|3192|2056|19|2406.2|8770.96
010 ANNECY|Annecy10@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|712|3710|33.71|1.83|36.50|6.47|30.06|1.69|33.10|6.04|28.37|2.25|31.78|6.28|78|46|75|46|45|26|5999|3626|2746|33|3088.6|14626.52
012 TOULON GRAND VAR|Toulonvar12@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|673|3302|26.15|4.61|26.41|10.27|24.67|4.75|25.32|9.75|4.46|1.63|3.97|3.18|101|93|94|80|126|128|3196|1930|1521|17|1126.5|4183.98
